Missile ID,Tracking %,Conic Angle (deg)
1,5.44,30
2,3.76,30
3,5.24,30
4,4.64,30
5,12.34,30
6,11.31,30
7,6.19,30
8,0.05,30
9,9.95,30
10,25.65,30
11,0.0,30
12,12.76,30
13,3.72,30
14,0.0,30
15,10.95,30
16,8.32,30
17,0.0,30
18,7.74,30
19,8.43,30
20,4.65,30
21,10.9,30
22,0.0,30
23,3.61,30
24,8.29,30
25,16.08,30
26,11.34,30
27,11.98,30
28,24.95,30
29,7.73,30
30,4.17,30
31,0.0,30
32,3.19,30
33,2.47,30
34,5.32,30
35,0.73,30
36,11.36,30
37,7.45,30
38,5.95,30
39,9.0,30
40,7.16,30
41,0.0,30
42,13.08,30
43,11.07,30
44,0.0,30
45,18.88,30
46,5.29,30
47,0.0,30
48,4.33,30
49,12.89,30
50,7.87,30
51,0.0,30
52,7.56,30
53,3.34,30
54,0.0,30
55,4.91,30
56,10.82,30
57,7.02,30
58,8.59,30
59,0.0,30
60,16.19,30
61,58.72,30
62,1.65,30
63,3.29,30
64,20.01,30
65,0.0,30
66,0.0,30
67,0.0,30
68,9.04,30
69,0.0,30
70,14.67,30
71,0.0,30
72,0.0,30
73,0.0,30
74,6.45,30
75,26.66,30
76,6.93,30
77,0.0,30
78,0.0,30
79,0.0,30
80,8.75,30
81,7.64,30
82,2.01,30
83,9.19,30
84,2.92,30
85,0.0,30
86,3.55,30
87,5.94,30
88,8.28,30
89,0.0,30
90,11.1,30
91,12.51,30
92,0.0,30
93,0.0,30
94,0.0,30
95,5.62,30
96,9.21,30
97,12.53,30
98,0.0,30
99,0.0,30
100,0.0,30
1,17.29,40
2,12.61,40
3,14.77,40
4,8.36,40
5,23.16,40
6,19.55,40
7,11.02,40
8,1.77,40
9,20.08,40
10,44.41,40
11,2.69,40
12,19.8,40
13,11.15,40
14,2.78,40
15,15.55,40
16,21.65,40
17,0.0,40
18,11.83,40
19,18.15,40
20,8.04,40
21,16.71,40
22,0.0,40
23,5.9,40
24,46.36,40
25,26.05,40
26,21.98,40
27,19.22,40
28,40.47,40
29,17.65,40
30,10.68,40
31,0.0,40
32,22.51,40
33,11.21,40
34,10.77,40
35,6.63,40
36,16.05,40
37,20.41,40
38,9.3,40
39,15.89,40
40,11.44,40
41,7.55,40
42,23.03,40
43,16.95,40
44,5.29,40
45,29.4,40
46,16.13,40
47,0.0,40
48,16.51,40
49,21.67,40
50,19.56,40
51,0.0,40
52,11.45,40
53,9.29,40
54,0.0,40
55,8.69,40
56,18.03,40
57,19.26,40
58,32.04,40
59,8.08,40
60,32.07,40
