Satellite Name,a,i,Omega,omega,e,M
LEOSat_P1_S1,7378.137,82,0.0,0,0,0.0
LEOSat_P1_S2,7378.137,82,0.0,0,0,60.0
LEOSat_P1_S3,7378.137,82,0.0,0,0,120.0
LEOSat_P1_S4,7378.137,82,0.0,0,0,180.0
LEOSat_P1_S5,7378.137,82,0.0,0,0,240.0
LEOSat_P1_S6,7378.137,82,0.0,0,0,300.0
LEOSat_P2_S1,7378.137,82,72.0,0,0,36.0
LEOSat_P2_S2,7378.137,82,72.0,0,0,96.0
LEOSat_P2_S3,7378.137,82,72.0,0,0,156.0
LEOSat_P2_S4,7378.137,82,72.0,0,0,216.0
LEOSat_P2_S5,7378.137,82,72.0,0,0,276.0
LEOSat_P2_S6,7378.137,82,72.0,0,0,336.0
LEOSat_P3_S1,7378.137,82,144.0,0,0,72.0
LEOSat_P3_S2,7378.137,82,144.0,0,0,132.0
LEOSat_P3_S3,7378.137,82,144.0,0,0,192.0
LEOSat_P3_S4,7378.137,82,144.0,0,0,252.0
LEOSat_P3_S5,7378.137,82,144.0,0,0,312.0
LEOSat_P3_S6,7378.137,82,144.0,0,0,12.0
LEOSat_P4_S1,7378.137,82,216.0,0,0,108.0
LEOSat_P4_S2,7378.137,82,216.0,0,0,168.0
LEOSat_P4_S3,7378.137,82,216.0,0,0,228.0
LEOSat_P4_S4,7378.137,82,216.0,0,0,288.0
LEOSat_P4_S5,7378.137,82,216.0,0,0,348.0
LEOSat_P4_S6,7378.137,82,216.0,0,0,48.0
LEOSat_P5_S1,7378.137,82,288.0,0,0,144.0
LEOSat_P5_S2,7378.137,82,288.0,0,0,204.0
LEOSat_P5_S3,7378.137,82,288.0,0,0,264.0
LEOSat_P5_S4,7378.137,82,288.0,0,0,324.0
LEOSat_P5_S5,7378.137,82,288.0,0,0,24.0
LEOSat_P5_S6,7378.137,82,288.0,0,0,84.0
LEOSat_P1_S1,7378.137,82,0.0,0,0,0.0
LEOSat_P1_S2,7378.137,82,0.0,0,0,60.0
LEOSat_P1_S3,7378.137,82,0.0,0,0,120.0
LEOSat_P1_S4,7378.137,82,0.0,0,0,180.0
LEOSat_P1_S5,7378.137,82,0.0,0,0,240.0
LEOSat_P1_S6,7378.137,82,0.0,0,0,300.0
LEOSat_P2_S1,7378.137,82,72.0,0,0,36.0
LEOSat_P2_S2,7378.137,82,72.0,0,0,96.0
LEOSat_P2_S3,7378.137,82,72.0,0,0,156.0
LEOSat_P2_S4,7378.137,82,72.0,0,0,216.0
LEOSat_P2_S5,7378.137,82,72.0,0,0,276.0
LEOSat_P2_S6,7378.137,82,72.0,0,0,336.0
LEOSat_P3_S1,7378.137,82,144.0,0,0,72.0
LEOSat_P3_S2,7378.137,82,144.0,0,0,132.0
LEOSat_P3_S3,7378.137,82,144.0,0,0,192.0
LEOSat_P3_S4,7378.137,82,144.0,0,0,252.0
LEOSat_P3_S5,7378.137,82,144.0,0,0,312.0
LEOSat_P3_S6,7378.137,82,144.0,0,0,12.0
LEOSat_P4_S1,7378.137,82,216.0,0,0,108.0
LEOSat_P4_S2,7378.137,82,216.0,0,0,168.0
LEOSat_P4_S3,7378.137,82,216.0,0,0,228.0
LEOSat_P4_S4,7378.137,82,216.0,0,0,288.0
LEOSat_P4_S5,7378.137,82,216.0,0,0,348.0
LEOSat_P4_S6,7378.137,82,216.0,0,0,48.0
LEOSat_P5_S1,7378.137,82,288.0,0,0,144.0
LEOSat_P5_S2,7378.137,82,288.0,0,0,204.0
LEOSat_P5_S3,7378.137,82,288.0,0,0,264.0
LEOSat_P5_S4,7378.137,82,288.0,0,0,324.0
LEOSat_P5_S5,7378.137,82,288.0,0,0,24.0
LEOSat_P5_S6,7378.137,82,288.0,0,0,84.0
LEOSat_P1_S1,7378.137,82,0.0,0,0,0.0
LEOSat_P1_S2,7378.137,82,0.0,0,0,60.0
LEOSat_P1_S3,7378.137,82,0.0,0,0,120.0
LEOSat_P1_S4,7378.137,82,0.0,0,0,180.0
LEOSat_P1_S5,7378.137,82,0.0,0,0,240.0
LEOSat_P1_S6,7378.137,82,0.0,0,0,300.0
LEOSat_P2_S1,7378.137,82,72.0,0,0,36.0
LEOSat_P2_S2,7378.137,82,72.0,0,0,96.0
LEOSat_P2_S3,7378.137,82,72.0,0,0,156.0
LEOSat_P2_S4,7378.137,82,72.0,0,0,216.0
LEOSat_P2_S5,7378.137,82,72.0,0,0,276.0
LEOSat_P2_S6,7378.137,82,72.0,0,0,336.0
LEOSat_P3_S1,7378.137,82,144.0,0,0,72.0
LEOSat_P3_S2,7378.137,82,144.0,0,0,132.0
LEOSat_P3_S3,7378.137,82,144.0,0,0,192.0
LEOSat_P3_S4,7378.137,82,144.0,0,0,252.0
LEOSat_P3_S5,7378.137,82,144.0,0,0,312.0
LEOSat_P3_S6,7378.137,82,144.0,0,0,12.0
LEOSat_P4_S1,7378.137,82,216.0,0,0,108.0
LEOSat_P4_S2,7378.137,82,216.0,0,0,168.0
LEOSat_P4_S3,7378.137,82,216.0,0,0,228.0
LEOSat_P4_S4,7378.137,82,216.0,0,0,288.0
LEOSat_P4_S5,7378.137,82,216.0,0,0,348.0
LEOSat_P4_S6,7378.137,82,216.0,0,0,48.0
LEOSat_P5_S1,7378.137,82,288.0,0,0,144.0
LEOSat_P5_S2,7378.137,82,288.0,0,0,204.0
