name,country,subcountry,geonameid
les Escaldes,Andorra,,3040051
Andorra la Vella,Andorra,,3041563
Warīsān,United Arab Emirates,,290503
Umm Suqaym,United Arab Emirates,,290581
Umm Al Quwain City,United Arab Emirates,,290594
Ar Rāshidīyah,United Arab Emirates,,291061
Ras Al Khaimah City,United Arab Emirates,,291074
Zayed City,United Arab Emirates,,291580
Khawr Fakkān,United Arab Emirates,,291696
Kalbā,United Arab Emirates,,291763
Jumayrā,United Arab Emirates,,291775
Dubai,United Arab Emirates,,292223
Dibba Al-Fujairah,United Arab Emirates,,292231
Dibba Al-Hisn,United Arab Emirates,,292239
Dayrah,United Arab Emirates,,292261
Sharjah,United Arab Emirates,,292672
Ar Ruways,United Arab Emirates,,292688
Ḩattā,United Arab Emirates,,292862
Al Fujairah City,United Arab Emirates,,292878
Al Ain City,United Arab Emirates,,292913
Ajman City,United Arab Emirates,,292932
Adh Dhayd,United Arab Emirates,,292953
Abu Dhabi,United Arab Emirates,,292968
Abū Hayl,United Arab Emirates,,292991
As Saţwah,United Arab Emirates,,385024
Al Ḩamīdīyah,United Arab Emirates,,414901
Al Waheda,United Arab Emirates,,6691079
Al Karama,United Arab Emirates,,6691091
The Palm Jumeirah,United Arab Emirates,,6691113
Bur Dubai,United Arab Emirates,,7289825
Khalifah A City,United Arab Emirates,,8057551
Mirdif,United Arab Emirates,,8200824
Hawr al ‘Anz,United Arab Emirates,,8201275
Mankhūl,United Arab Emirates,,8225407
Nāyf,United Arab Emirates,,8226485
Al Murar al Qadīm,United Arab Emirates,,8226590
Al Warqaa,United Arab Emirates,,8469658
International City,United Arab Emirates,,8469668
Dubai Marina,United Arab Emirates,,8469788
Dubai Internet City,United Arab Emirates,,8469811
Al Safa,United Arab Emirates,,8469819
Ar Rumaylah,United Arab Emirates,,8475866
Al Jurf,United Arab Emirates,,8475923
Al Majaz,United Arab Emirates,,8476509
Dubai Festival City,United Arab Emirates,,8541937
Dubai International Financial Centre,United Arab Emirates,,8541977
Dubai Investments Park,United Arab Emirates,,11048853
Jebel Ali,United Arab Emirates,,11524601
Bani Yas City,United Arab Emirates,,12042052
Musaffah,United Arab Emirates,,12042053
Al Shamkhah City,United Arab Emirates,,12047416
Reef Al Fujairah City,United Arab Emirates,,12047417
Al Bada'a,United Arab Emirates,,13118420
Al Muteena,United Arab Emirates,,13118421
Al Mizhar First,United Arab Emirates,,13118422
Dubai Silicon Oasis,United Arab Emirates,,13118424
Al Furjan,United Arab Emirates,,13118431
Business Bay,United Arab Emirates,,13118432
Al Qusais 1,United Arab Emirates,,13118433
Halwan,United Arab Emirates,,13118437
Al Sajaah,United Arab Emirates,,13118438
Lahbab,United Arab Emirates,,13118439
Mohammed Bin Zayed City,United Arab Emirates,,13118447
Zaranj,Afghanistan,,1120985
Bāzār-e Yakāwlang,Afghanistan,,1121381
Taloqan,Afghanistan,,1123004
Shīnḏanḏ,Afghanistan,,1125155
